SL No	Donor Name	Location Name	Latitude 	Longitude	Google location	No of Percolation well Constructed	Year of Completion	Zone	Ward Number	Location by Parks/Campuses
1	Bosch - Rebi	Lalbagh Botanical Garden - 1	12.95217806	77.58504382	https://goo.gl/maps/mokUe3oYt6U6bB1R8	225	Mar-19	Bommanahalli Zone		Horticulture Parks
2	DXC Technologies	Jinke park	12.95181772	77.55755432	https://goo.gl/maps/hAKkaj9H3SSE258D7	33	Mar-21	South zone		BBMP Park
3	Zebra	Kidwai Hospital	12.93570169	77.59758183	https://goo.gl/maps/umwN6tg9KNJ11RBaA	30	Mar-21	South zone		Others
4	Alstom Foundation	Anekal Town	12.70775016	77.69443312	https://goo.gl/maps/CMDnSfPHYU7uvKom7	25	Jun-21	Anekal		Schools and Colleges
5	Zebra	Nimhans Hospital	12.93869125	77.59453086	https://goo.gl/maps/fVVhAHXk92CZ13v17	75	Dec-21	Bommanahalli Zone		Others
6	United Breweries	Nandi Panchayat	13.38420025	77.68991089	https://goo.gl/maps/ZkJWGCDKCA2DWN9EA	90	Mar-22	Nandi village		Others
7	Synamedia	Freedom Park	12.97907237	77.58247669	https://goo.gl/maps/97NkwxonDha5GHKx5	33	Mar-22	West zone		BBMP Park
8	Telstra	Richards Park	13.00427611	77.61727401	https://goo.gl/maps/ss4uPFXxYF1z2SRYA	10	Mar-22	East Zone		BBMP Park
9	Kennametal	JP Park - Mathikere	13.03448688	77.55131426	https://goo.gl/maps/U1ayUzEemfrkrp5u5	90	Mar-22	RR Nagar Zone		BBMP Park
10	ExxonMobil	Mini Forest and Munneswara park	12.91180674	77.5991063	https://goo.gl/maps/KeS1ryWfaif2yiK46	40	Mar-21	South zone		BBMP Park
11	Northern Trust	Sakalavara- Nimhans	12.82418512	77.60143315	https://goo.gl/maps/yeYs4VCtjwSEtJKb9	77	Mar-22	South zone		Others
12	ExxonMobil	Kadugodi Forest and Park	12.98677153	77.74545273	https://goo.gl/maps/mSrg9FtcKdC8nBoR7	52	Mar-22	Mahadevapura Zone		Forest Dept
13	Momentive	ISRO Park	12.89665424	77.55873619	https://goo.gl/maps/AEm21re8gB6wq6Cw9	13	Apr-22	South zone		Others
14	DXC Technologies	BDA Avalahalli park	12.94335776	77.54290441	https://goo.gl/maps/d9aKCqs8k6sYwBoN6	20	Mar-22	South zone		BBMP Park
15	Avality	Krishna Rao Park-1	12.9418635	77.57530455	https://goo.gl/maps/Yu5qmpFUQUagrVFA7	37	Mar-22	South zone		BBMP Park
16	CBA	Krishna Rao Park-2	12.94183736	77.57540111	https://goo.gl/maps/Yu5qmpFUQUagrVFA7	24	Mar-22	South zone		BBMP Park
17	HCL Foundation	Anekal School and Anganwadi	12.79022964	77.67510707	https://goo.gl/maps/iWQpCXPCYQLbLQhw6	21	Mar-22	Anekal		Schools and Colleges
18	Fortrea	Lalbagh Botanical Garden - 2	12.94654306	77.58096123	https://goo.gl/maps/mokUe3oYt6U6bB1R8	85	Jan-23	South zone		Horticulture Parks
19	Mphasis	Lalbagh Botanical Garden - 3	12.95013654	77.58672959	https://goo.gl/maps/mokUe3oYt6U6bB1R8	150	Mar-23	South zone		Horticulture Parks
20	Mphasis	Swachagraha Kalika Kendra	12.91533526	77.63918729	https://goo.gl/maps/FkWMFWKP9LaU5ZtCA	10	Mar-23	Bommanahalli Zone		BBMP Park
21	Mphasis	Vrukasha vana Park	12.90824467	77.63610132	https://goo.gl/maps/VsAwc2FFi96v19ji8	12	Mar-23	Bommanahalli Zone		BBMP Park
22	Mphasis	Bengaluru one Park	12.91315329	77.64958779	https://goo.gl/maps/5WwuA2fahv2Xd86f6	15	Mar-23	Bommanahalli Zone		BBMP Park
23	Mphasis	Lawrence School Park	12.91374974	77.63406631	https://goo.gl/maps/Wr8mCS3UMmCHtCDG8	7	Mar-23	Bommanahalli Zone		BBMP Park
24	Mphasis	Forest Park	12.91623825	77.64820611	https://goo.gl/maps/Da6DCCZhrhLrutRLA	18	Mar-23	Bommanahalli Zone		BBMP Park
25	Mphasis	Ganesh Park	12.91784934	77.65094001	https://goo.gl/maps/8gLyuUKcHjFXTMK7A	13	Mar-23	Bommanahalli Zone		BBMP Park
26	Mphasis	Thungabadra Park	12.91496925	77.64717109	https://goo.gl/maps/QuA5jGN5wz2LGxDH9	8	Mar-23	Bommanahalli Zone		BBMP Park
27	Mphasis	Nethravathi Park	12.91743109	77.65307891	https://goo.gl/maps/tvjX9Savz7MDxJvi7	10	Mar-23	Bommanahalli Zone		BBMP Park
28	Mphasis	Tree Park	12.91095558	77.65126073	https://goo.gl/maps/issxXkdQ8NJAhzXB9	2	Mar-23	Bommanahalli Zone		BBMP Park
29	Mphasis	Naft Collage back side Park	12.91005265	77.65263256	https://goo.gl/maps/4oB1gUeqphjX5amR8	3	Mar-23	Bommanahalli Zone		BBMP Park
30	Mphasis	Rajyotsava Park	12.90950036	77.65114963	https://goo.gl/maps/ujkzLTVhfg68eVUb7	2	Mar-23	Bommanahalli Zone		BBMP Park
31	Mphasis	Niligiri park/Krishana park	12.91356989	77.64629292	https://goo.gl/maps/KgreyNYntDMKThJP6	8	Mar-23	Bommanahalli Zone		BBMP Park
32	Mphasis	Naft Collage back side Park 1	12.911332	77.65258779	https://goo.gl/maps/N87XZNEjxMubiDdC9	2	Mar-23	Bommanahalli Zone		BBMP Park
33	Mphasis	Jodi Park	12.90834448	77.64085476	https://goo.gl/maps/VWTjrjNwD64GpLVq8	5	Mar-23	Bommanahalli Zone		BBMP Park
34	Mphasis	Ugrappa Park/Swabimana park	12.91103482	77.64019346	https://goo.gl/maps/DzNWszQ2nZDLsHvV9	50	Mar-23	Bommanahalli Zone		BBMP Park
35	Swiss Re Foundation	"4th Main park,Sector 7"	12.910793	77.631703	"12.910793,77.631703"	15	Mar-23	Bommanahalli Zone		BBMP Park
36	Swiss Re Foundation	"8A Main Park,Sector 7"	12.9095671	77.6334295	"12.9095671,77.6334295"	10	Mar-23	Bommanahalli Zone		BBMP Park
37	Swiss Re Foundation	"14th B Cross Road,Sector 6 Next to Children Amusement Park"	12.914742	77.634614	"12.914742,77.634614"	10	Mar-23	Bommanahalli Zone		BBMP Park
38	Swiss Re Foundation	"6th Main park,sector 7"	12.91081109	77.63348293	https://goo.gl/maps/YADgzcnSaPsRh8cC6	15	Mar-23	Bommanahalli Zone		BBMP Park
39	Telstra	Independence Park	12.90740622	77.64703512	https://goo.gl/maps/t8Knez6rBbn7vo5z7	2	Mar-23	Bommanahalli Zone		BBMP Park
40	Telstra	Green Park Sector-2	12.90978922	77.64593279	https://goo.gl/maps/nRhJ4rxnGnfhCJmi6	5	Mar-23	Bommanahalli Zone		BBMP Park
41	Mphasis	Hulimavu BDA Park	12.86678172	77.59940227	https://goo.gl/maps/te9387HZTYAMQjxD6	7	Mar-23	Bommanahalli Zone		BBMP Park
42	Mphasis	Banana Park	12.88930911	77.61007272	https://goo.gl/maps/EKtdXutPEDiv4EeT8	2	Mar-23	Bommanahalli Zone		BBMP Park
43	Mphasis	Ayyappa Temple Park 1	12.89240386	77.60917072	https://goo.gl/maps/jvor8t6RkpHxzb3T9	21	Mar-23	Bommanahalli Zone		BBMP Park
44	Mphasis	Police station back back side park	12.89086999	77.60833481	https://goo.gl/maps/eYUUaBBxuo2BXHJ68	5	Mar-23	Bommanahalli Zone		BBMP Park
45	Mphasis	Kaveramma Park	12.89521886	77.60633227	"https://maps.google.com/?q=12.895062,77.606343&entry=gps"	5	Mar-23	Bommanahalli Zone		BBMP Park
46	Mphasis	Near Sai baba temple park	12.88324687	77.60880572	https://goo.gl/maps/TxMz8kwUocWcFXwVA	2	Mar-23	Bommanahalli Zone		BBMP Park
47	Mphasis	Ayyappa Temple back side Park	12.89176157	77.60555116	https://goo.gl/maps/iQwa3eYcFGcJgewg7	14	Mar-23	Bommanahalli Zone		BBMP Park
48	Mphasis	Loyala School Park	12.86834881	77.59122018	https://goo.gl/maps/zcqB1RtJBF9RFDb47	112	Mar-23	Bommanahalli Zone		BBMP Park
49	NextGen	Kariyappa park	12.9199242	77.60979038	https://goo.gl/maps/yD4Q4c6Y2AK8Dcna6	16	Mar-23	South zone		BBMP Park
50	NextGen	Kuvempu Park	12.91728887	77.61044636	https://goo.gl/maps/1MjiWknEz4qvZPE98	17	Mar-23	South zone		BBMP Park
51	Mphasis	Shantiniketan Tank Park	12.88166821	77.60794748	https://goo.gl/maps/JPwgaVEfPQcTfBiS6	11	Mar-23	Bommanahalli Zone		BBMP Park
52	Mphasis	Nirmala Joyhti ITI Park	12.86656943	77.59192461	https://goo.gl/maps/bC1T6TRLqaFTYWzK8	16	Mar-23	Bommanahalli Zone		Others
53	Mphasis	Maitreya Campus	12.86825352	77.58722838	https://goo.gl/maps/93Kadr5vtbUYrWvX8	5	Mar-23	Bommanahalli Zone		Others
54	Mphasis	Ashram park	12.86738584	77.58845395	https://goo.gl/maps/LSNVDBY8T47JwT8V8	9	Mar-23	Bommanahalli Zone		Others
55	Mphasis	Karnataka Compost Development Corporation	12.89405893	77.64953475	https://goo.gl/maps/WuvjBfwX32UA39AfA	10	Mar-23	Bommanahalli Zone		Others
56	Mphasis	Govt Hospital park Singasandra	12.87232959	77.65241851	https://goo.gl/maps/sBmAYxceRGjWUjwS6	13	Mar-23	Bommanahalli Zone		Others
57	Mphasis	Forest Department Nursery	12.89643266	77.6460462	https://goo.gl/maps/dXehue79KxM7pmHV6	48	Mar-23	Bommanahalli Zone		Forest Dept
58	Mphasis	Bommanahalli Horticulture Farmhouse	12.89640662	77.6469219	https://goo.gl/maps/gkXiWEMiqRg5RLD1A	30	Mar-23	Bommanahalli Zone		Forest Dept
59	Mphasis	Poornapragna park	12.90665515	77.53746856	https://maps.app.goo.gl/A32TgSiu1XDwNjt57	14	Mar-23	Bommanahalli Zone		BBMP Park
60	Mphasis	Poornapragna 49th Cross Park	12.90725759	77.53778392	https://maps.app.goo.gl/oZFqzK1Rsid9XceV8	19	Mar-23	Bommanahalli Zone		BBMP Park
61	Mphasis	Poornapragna Amruth Park	12.90251158	77.53578517	https://maps.app.goo.gl/gsu1eCvEzYK4NeyK8	8	Mar-23	Bommanahalli Zone		BBMP Park
62	Mphasis	Poornapragna park no 7	12.90704784	77.53278612	https://maps.app.goo.gl/QzjRz9L91Yi1XMLy7	8	Mar-23	Bommanahalli Zone		BBMP Park
63	Mphasis	Chakra Park	12.89295049	77.53291016	https://maps.app.goo.gl/LqkYNAM3JcVEoXRZA	7	Mar-23	Bommanahalli Zone		BBMP Park
64	Mphasis	Patyangiri Park	12.89076824	77.53540996	https://maps.app.goo.gl/2PDmjEmQMjyJqdNT9	4	Mar-23	Bommanahalli Zone		BBMP Park
65	Mphasis	Poornapragna park no 16	12.90251245	77.53654487	https://maps.app.goo.gl/eMDt6XeFbjyVCYv58	9	Mar-23	Bommanahalli Zone		BBMP Park
66	Target Corporation	Soundarya BBMP Park	13.03626699	77.56940865	https://goo.gl/maps/wX9KX2FnRgYqkEbh9	20	Mar-23	East Zone		BBMP Park
67	Target Corporation	Boulevard Park-1	13.04045885	77.56863474	https://goo.gl/maps/4kAvunddTuRJHBFL8	15	Mar-23	East Zone		BBMP Park
68	Target Corporation	Boulevard Park-2	13.04098071	77.56852369	https://goo.gl/maps/PhtnhasSFpCKyACv7	9	Mar-23	East Zone		BBMP Park
69	Target Corporation	Boulevard Park-3	13.04296423	77.56832996	https://goo.gl/maps/3jkijfC4yoGAvuNd9	22	Mar-23	East Zone		BBMP Park
70	Target Corporation	Central Excise Layout Park	13.03906759	77.57955232	https://goo.gl/maps/rwbqsNqUQqcqqd6K6	5	Mar-23	East Zone		BBMP Park
71	Target Corporation	Raghuvana Park	13.03963515	77.57752509	https://goo.gl/maps/CMANpkjscD693AvX8	2	Mar-23	East Zone		BBMP Park
72	Target Corporation	Bruhath Park Opp to Kanti sweets	13.03984493	77.56430386	https://goo.gl/maps/xWKXYPELxv6uooau5	2	Mar-23	East Zone		BBMP Park
73	Kennametal	Acharya College Park	13.00254691	77.48550144	https://maps.app.goo.gl/ieRqS8Pn1xQMp7Q27	20	Mar-23	RR Nagar Zone		BBMP Park
74	Kennametal	Doddabidarakullu Kalabaireswara	13.03039453	77.48402681	https://maps.app.goo.gl/xc7xHKuENCLxvsWr7	23	Mar-23	RR Nagar Zone		BBMP Park
75	Kennametal	GM Cartege Park	13.02108972	77.48577611	https://maps.app.goo.gl/xPWeXW8aaDkgBLkS7	5	Mar-23	RR Nagar Zone		BBMP Park
76	Kennametal	Doddabidarakallu ward office Park	13.02119145	77.48605301	https://maps.app.goo.gl/xPWeXW8aaDkgBLkS7	12	Mar-23	RR Nagar Zone		BBMP Park
77	Broadcom	"Bio Centre,Horticulture Department"	12.87643469	77.59429292	https://maps.app.goo.gl/dxiLjsMjxZCBKrYh7	115	Mar-23	Bommanahalli Zone		Horticulture Parks
78	Broadcom	Royal County Park-1	12.86159135	77.58000893	https://goo.gl/maps/St7r5ryrEHsYcyn7A	15	Mar-23	Bommanahalli Zone		BBMP Park
79	Broadcom	Royal County Park-2	12.86939535	77.57678194	https://goo.gl/maps/GnDFxrzMm829KhuJ6	15	Mar-23	Bommanahalli Zone		BBMP Park
80	Broadcom	Royal Lake Front park	12.87017386	77.57738622	https://goo.gl/maps/nbman5vZNx88vuHq8	10	Mar-23	Bommanahalli Zone		BBMP Park
81	Broadcom	Namma Clinic Park Anjanapura	12.87326718	77.56360332	https://maps.app.goo.gl/PuZqEVLTSmPGrqs38	12	Mar-23	Bommanahalli Zone		BBMP Park
82	Broadcom	Agastya Vana	12.86542308	77.56496842	https://maps.app.goo.gl/aTMmeRbXVKXTXe4N9	5	Mar-23	Bommanahalli Zone		BBMP Park
83	Broadcom	Miyavaki Plantation park	12.86557338	77.56479919	https://maps.app.goo.gl/aTMmeRbXVKXTXe4N9	3	Mar-23	Bommanahalli Zone		BBMP Park
84	Broadcom	Alwarna Bhavan	12.86405817	77.59312627	https://maps.app.goo.gl/VsZTUdbJSzTKPGE66	20	Mar-23	Bommanahalli Zone		Others
85	Broadcom	Narayana Nagar Park-2	12.87182972	77.55576266	https://maps.app.goo.gl/a9okKcE9f6xvV4Kp9	8	Mar-23	Bommanahalli Zone		BBMP Park
86	Broadcom	RBI Layout Ladies play ground Park	12.89055921	77.57792364	https://maps.app.goo.gl/EaCsQvyzn8kS75WU7	12	Mar-23	Bommanahalli Zone		BBMP Park
87	Broadcom	Ramachandra pura park	12.91623018	77.54279658	https://goo.gl/maps/2CyPHstgAKQMMmxAA	10	Mar-23	Bommanahalli Zone		BBMP Park
88	Broadcom	NPS School Park	12.89971752	77.52907887	https://goo.gl/maps/UTjXGKXyWAt57T1q7	10	Mar-23	Bommanahalli Zone		BBMP Park
89	Broadcom	Nandini Booth Park	12.90607096	77.5372567	https://goo.gl/maps/B6fWXbBTkF86tk3g9	20	Mar-23	Bommanahalli Zone		BBMP Park
90	Broadcom	Poornaprajna Park no-14	12.9054733	77.53753024	https://goo.gl/maps/w2KJCAL2LtsUBdLo6	5	Mar-23	Bommanahalli Zone		BBMP Park
91	Broadcom	RBI Layout Park-1	12.88927284	77.57840685	https://goo.gl/maps/7LWH92dtYBuLXC749	3	Mar-23	Bommanahalli Zone		BBMP Park
92	Broadcom	Aradhana School	12.88490365	77.59225574	https://maps.app.goo.gl/27ZV9u2acx7Hw4r76	20	Mar-23	Bommanahalli Zone		Schools and Colleges
93	Broadcom	St Joseph Nivas School	12.85078672	77.59722959	https://maps.app.goo.gl/QcgU1YqVsmVYmA8j7	50	Mar-23	Bommanahalli Zone		Schools and Colleges
94	Broadcom	Prema Sadana	12.84621767	77.599924	https://maps.app.goo.gl/dUMjgqoERKTvbZ3q8	64	Mar-23	Bommanahalli Zone		Schools and Colleges
95	Broadcom	Jeevan Juvenile home	13.017737	77.6387426	https://maps.app.goo.gl/Snq7aU21sPw4tkoWA	12	Mar-23	Bommanahalli Zone		Schools and Colleges
96	Broadcom	Medico Social centre	12.92749179	77.61518512	https://maps.app.goo.gl/YWkb1j5nJttdpUxk9	25	Mar-23	Bommanahalli Zone		Schools and Colleges
97	Broadcom	Trinity Park	12.86732379	77.58658846	https://maps.app.goo.gl/NzrnSTYYprEYGZDM9	48	Mar-23	Bommanahalli Zone		Others
98	Broadcom	Singasandra Park-Farm house	12.89649577	77.64674581	https://maps.app.goo.gl/sjuH5Y9B7d8MJPFLA	8	Mar-23	Bommanahalli Zone		Horticulture Parks
99	Broadcom	Poornaprajna flower park (Uttarahalli Depo park)	12.91105219	77.53530358	https://goo.gl/maps/ynixBJjNB4QSAdVr8	10	Mar-23	Bommanahalli Zone		BBMP Park
100	Broadcom	Poornaprajna Park no-5	12.90999523	77.53225704	https://goo.gl/maps/Agnb5cEwYrzQma8g9	10	Mar-23	Bommanahalli Zone		BBMP Park
101	NTT Data	AECS Layout Park	12.96305693	77.7152211	https://maps.app.goo.gl/To9eqm9PrtX2X6387	10	Feb-23	Mahadevapura Zone		BBMP Park
102	NTT Data	Nisagara Park	12.96211429	77.70972243	https://maps.app.goo.gl/JcQrRfiP5sHSjzoY7	8	Feb-23	Mahadevapura Zone		BBMP Park
103	NTT Data	Eco Park	13.01749357	77.69570771	https://maps.app.goo.gl/iwJpBkmC4xeGUX639	5	Feb-23	Mahadevapura Zone		BBMP Park
104	NTT Data	Chele Kere Park ( Kranti veera sangolli rayanna BBMP Park Chelkere)	13.0255654	77.64464549	https://maps.app.goo.gl/gi4BWdgtcgYwf9767	15	Feb-23	Mahadevapura Zone		BBMP Park
105	NTT Data	Whitefield Park (Inner circle municipal park)	12.97197227	77.74860444	https://maps.app.goo.gl/oX1LxNk2au1Vub6SA	12	Feb-23	Mahadevapura Zone		BBMP Park
106	Mphasis	Nandanavana Park	12.91485513	77.60443324	https://maps.app.goo.gl/vpmpBbqhK5VgUPYx8	8	Mar-24	South zone		BBMP Park
107	Mphasis	Veera Yodhara Vana Park	12.93114275	77.62679359	https://maps.app.goo.gl/CAnBk6fKzTwKKzNE7	39	Mar-24	South zone		BBMP Park
108	Mphasis	Koramangala Post Office Ground	12.92771786	77.62768574	https://maps.app.goo.gl/UqKJ7MiGU7exFJUx9	7	Mar-24	South zone		BBMP Park
109	Mphasis	Mico Layout Park 2 ( M S Collage)	12.90809123	77.6120111	https://maps.app.goo.gl/nzDxHJUrR6LdMoPL9	8	Mar-24	South zone		BBMP Park
110	Mphasis	Mico Layout Park (N S Palya Park )	12.91143318	77.60487158	https://maps.app.goo.gl/RmnUJqpqQRK2o9NM8	9	Mar-24	South zone		BBMP Park
111	Mphasis	CAR South Adugodi ( DCP Farmhouse)	12.93836438	77.61073067	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	20	Mar-24	South zone		Police Campus
112	Mphasis	"CAR South Quaters,Road side etc"	12.93837615	77.61054177	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	106	Mar-24	South zone		Police Campus
113	Mphasis	Nandini Booth Park	12.91052542	77.61034249	https://maps.app.goo.gl/i7kXNiSVoG6uhpd47	8	Mar-24	South zone		BBMP Park
114	Mphasis	Vinayaka Temple Park 1	12.9117442	77.61383365	https://maps.app.goo.gl/WJgtVmRGFjJNLZ8c8	5	Mar-24	South zone		BBMP Park
115	Mphasis	Vinayaka Temple Park 2	12.91315951	77.61385468	https://maps.app.goo.gl/fit13K8hdmhq9HGC8	2	Mar-24	South zone		BBMP Park
116	Mphasis	Mini Forest Park	12.90897462	77.59910552	https://maps.app.goo.gl/ijPdP1snsznJ7e1V7	4	Mar-24	South zone		BBMP Park
117	Mphasis	Bhagath Singh Park	12.91177625	77.59887306	https://maps.app.goo.gl/DYQMAHjx8xrRnfkf7	4	Mar-24	South zone		BBMP Park
118	Mphasis	16th Main Park J.P Nagar	12.90615007	77.60066192	https://maps.app.goo.gl/RhzgzrgjAXTYHyXv5	3	Mar-24	South zone		BBMP Park
119	Mphasis	Hopcoms Park J.P Nagar	12.90514941	77.59681441	https://maps.app.goo.gl/tXJStdM5yAHnZQHs7	4	Mar-24	South zone		BBMP Park
120	Mphasis	Kiru Vruksha vana	12.90550524	77.59376264	https://maps.app.goo.gl/13LN61Zw6MVcAxwD6	3	Mar-24	South zone		BBMP Park
121	Mphasis	Dollars Colony Park	12.90317751	77.59654828	https://maps.app.goo.gl/D9opXosKJyrzcYf78	5	Mar-24	South zone		BBMP Park
122	Mphasis	Kadamba Park	12.93834739	77.61068929	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	27	Mar-24	South zone		BBMP Park
123	Mphasis	Police Parade Ground Backside Area	12.93834739	77.61068929	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	25	Mar-24	South zone		Police Campus
124	Mphasis	Children's Playground Surrounding	12.93834739	77.61068929	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	20	Mar-24	South zone		Police Campus
125	Mphasis	Teakwood Area Surronding	12.93834739	77.61068929	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	26	Mar-24	South zone		Police Campus
126	Mphasis	Generator Area Surrounding	12.93834739	77.61068929	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	15	Mar-24	South zone		Police Campus
127	Mphasis	Mangala Convention Centre Surrounding	12.93834739	77.61068929	https://maps.app.goo.gl/nR4AwUmrymNbcn1V9	4	Mar-24	South zone		Police Campus
128	Mphasis	"3 and 4th Battlion,KSRP"	12.92186386	77.62522723	https://maps.app.goo.gl/xsssq14nStERTyt29	100	Mar-24	Bommanahalli Zone		Police Campus
129	Mphasis	Lakshmidevi park	12.92845157	77.63366309	https://maps.app.goo.gl/zKpYy7AePmTqxSLu9	15	Mar-24	South zone		BBMP Park
130	Mphasis	Eco Park	12.93883234	77.62518367	https://maps.app.goo.gl/Asrc5jftCH5QoHZt6	9	Mar-24	South zone		BBMP Park
131	Mphasis	"9th Battlion,KSRP"	12.88557587	77.67183229	https://maps.app.goo.gl/44AjRLLbhxPwwAjYA	133	Mar-24	Bommanahalli Zone		Police Campus
132	Mphasis	Training centre dairy circle	12.93647481	77.60056509	https://maps.app.goo.gl/2HbAuwzBZArrqSLb9	25	Mar-24	South zone		Schools and Colleges
133	Mphasis	SFHS Badavane park	12.91546915	77.60216706	https://maps.app.goo.gl/9KRSjuZWpHLuPsnb6	5	Mar-24	South zone		BBMP Park
134	Mphasis	Vishweshwaraiah Park	12.91223853	77.61350456	https://maps.app.goo.gl/hhjm2d5b6QERybQZA	5	Mar-24	South zone		BBMP Park
135	Broadcom	Police Training School Campus	13.07701774	77.62576647	https://maps.app.goo.gl/ZthZRamGD7gQHuo56	30	Mar-24	Yelahanka Zone		Police Campus
136	Broadcom	Central Reserve Police Force Campus	13.12371253	77.57402539	https://maps.app.goo.gl/T5QpVDYZKEt6PkTF9	200	Mar-24	Yelahanka Zone		Defence Campus
137	Broadcom	Central Reserve Police Force Campus	13.12371253	77.57402539	https://maps.app.goo.gl/T5QpVDYZKEt6PkTF9	59	Mar-24	Yelahanka Zone		Defence Campus
138	Broadcom	Armed Personnel Training School Campus	13.12465501	77.60497063	https://maps.app.goo.gl/P9PZjLQZgTabS4DA7	24	Mar-24	Yelahanka Zone		Police Campus
139	Broadcom	Armed Personnel Training School Campus	13.12465501	77.60497063	https://maps.app.goo.gl/P9PZjLQZgTabS4DA7	3	Mar-24	Yelahanka Zone		Police Campus
140	Broadcom	Sahakarnagar Park 2	13.06055545	77.58918407	https://maps.app.goo.gl/NB4EMcoRLwzfq3SAA	5	Mar-24	Yelahanka Zone		BBMP Park
141	Broadcom	Yogi Vemana Park	13.09855709	77.57189702	https://maps.app.goo.gl/WR4Xmw5Ru2TqD94h7	6	Mar-24	Yelahanka Zone		BBMP Park
142	Broadcom	Sir. M Vishveshwaraiah Park	13.09826923	77.57980314	https://maps.app.goo.gl/5utEzUrdgfrQJLiR7	35	Mar-24	Yelahanka Zone		BBMP Park
143	Broadcom	Cauvery Park	13.09830645	77.57689764	https://maps.app.goo.gl/tkqxRSG5mVDhEJs39	3	Mar-24	Yelahanka Zone		BBMP Park
144	Broadcom	Rashtrakavi kuvempu Park	13.10368218	77.57403914	https://maps.app.goo.gl/Eo6xiMwe159h2uQw6	6	Mar-24	Yelahanka Zone		BBMP Park
145	Broadcom	Kittoor Rani Chennamma Park	13.10162912	77.57382388	https://maps.app.goo.gl/bxaKh9sBbahDLrZL8	1	Mar-24	Yelahanka Zone		BBMP Park
146	Broadcom	District Armed Reserve Police Campus	12.99146602	77.47851769	https://maps.app.goo.gl/WNYsz9tzNZTMDx91A	100	Mar-24	Yelahanka Zone		Police Campus
147	Broadcom	District Armed Reserve Police Campus	12.99146602	77.47851769	https://maps.app.goo.gl/WNYsz9tzNZTMDx91A	53	Mar-24	Yelahanka Zone		Police Campus
148	Broadcom	ASC Centre	12.93911366	77.63298828	https://maps.app.goo.gl/jpi6UYD1aBBuY97F7	119	Mar-24	East Zone		Defence Campus
149	Broadcom	ASC Centre (Iblur)	12.93930704	77.63338362	https://maps.app.goo.gl/DLMXVX8J29e6TiE18	20	Mar-24	Bommanahalli Zone		Defence Campus
150	Broadcom	Shettihalli Anjaneya Temple Park	13.06678688	77.51709812	https://maps.app.goo.gl/xUdQYLJnhjjXTq5n9	5	Mar-24	Dasarahalli zone		BBMP Park
151	Broadcom	Shettihalli park-2	13.0642037	77.51434658	https://maps.app.goo.gl/j2b9e7ZVAn9eGz379	4	Mar-24	Dasarahalli zone		BBMP Park
152	Broadcom	MEI Layout Park 5	13.05849262	77.50569189	https://maps.app.goo.gl/Ni6y2x8aRVe6BwSQ8	9	Mar-24	Dasarahalli zone		BBMP Park
153	Broadcom	Nela Maheshwari Park	13.04915937	77.5108994	https://maps.app.goo.gl/Ny9mXPw9iqfbd6Yz7	3	Mar-24	Dasarahalli zone		BBMP Park
154	Broadcom	Gruhalakshmi Layout Park 2	13.03244231	77.49871166	https://maps.app.goo.gl/3GirKuxLayC9GPHJA	8	Mar-24	Dasarahalli zone		BBMP Park
155	Broadcom	Gruhalakshmi Layout Park 1	13.02659374	77.49737923	https://maps.app.goo.gl/ZLsyxMwdtQCXL97z8	5	Mar-24	Dasarahalli zone		BBMP Park
156	Broadcom	Manjunatha Temple Park	13.01799347	77.51918532	https://maps.app.goo.gl/2DKD5vcA7FgiG3D18	6	Mar-24	Dasarahalli zone		BBMP Park
157	Broadcom	Visvaswariah Enclave Park	13.06563299	77.53349882	https://maps.app.goo.gl/g1aD6YdyrJNP9Ger7	5	Mar-24	Dasarahalli zone		BBMP Park
158	Broadcom	Gurahalakshmi Layout Part 4	13.02973351	77.49927994	https://maps.app.goo.gl/rzC5q1wysahsDtEDA	9	Mar-24	Dasarahalli zone		BBMP Park
159	Broadcom	Geleyara Balaga Playground	13.07047213	77.50884705	https://maps.app.goo.gl/tVALMxhdwi8G6a5z8	4	Mar-24	Dasarahalli zone		BBMP Park
160	Broadcom	Shettyhalli Park -1	13.06435043	77.51455945	https://goo.gl/maps/vzfVtM9c1TmbfPVE8	3	Mar-24	Dasarahalli zone		BBMP Park
161	Broadcom	MEI Layout Park 2	13.06059982	77.50658522	https://maps.app.goo.gl/c74BwXWBLpz73B3u8	10	Mar-24	Dasarahalli zone		BBMP Park
162	Broadcom	MEI Layout Park 3	13.06272644	77.5018956	https://maps.app.goo.gl/YbbT1pbuspuBQk7DA	6	Mar-24	Dasarahalli zone		BBMP Park
163	Broadcom	BBMP Nursery Park	13.06882548	77.50144126	https://maps.app.goo.gl/EAruAdQFjk9SA8WVA	4	Mar-24	Dasarahalli zone		BBMP Park
164	Broadcom	Kirloskar Layout Park 2	13.06574788	77.50200243	https://maps.app.goo.gl/E1yQAc49XjSkMNYKA	3	Mar-24	Dasarahalli zone		BBMP Park
